,id,age,sequence_agreement_number,expense_all,expense_in_contract,visits_on_contract,sale_year,sale_month,sale_day,sale_hour,sale_minute,sale_second,end_year,end_month,end_day,end_hour,end_minute,end_second,gender_Мужской,agreement_Заблокирован,agreement_Закрыт,agreement_Заморожен,agreement_Продан,renewal_Не продлено,renewal_Отказ от продления,renewal_Продлено,age_group_Младенец,age_group_Дошкольник,age_group_Ребёнок,age_group_Подросток,age_group_Молодой,age_group_Взрослый,age_group_Пожилой
0,10ca99cf-d74c-4424,48,2,29655.72,2655.72,10,2022,12,31,19,42,35,2024,3,30,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,ecce2112-0f09-409a,43,1,7693.14,7693.14,11,2022,12,31,18,17,45,2024,2,16,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2,cefeeaf5-0001-4364,47,1,6953.18,6953.18,19,2022,12,31,18,12,7,2024,1,31,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3,4ae2eee8-d209-4e94,51,6,78130.36,22930.36,18,2022,12,31,18,4,5,2024,2,25,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
4,e5f22aa5-2e12-4056,30,2,58256.36,24756.36,9,2022,12,31,17,41,21,2024,1,13,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
5,4e12bb2f-3f95-408f,23,2,57831.71,24331.71,11,2022,12,31,17,36,55,2024,1,23,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
6,af5a2c58-48b0-46c4,43,1,7340.81,7340.81,9,2022,12,31,17,22,6,2024,4,22,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
7,7d5f48a6-9ff1-4e0c,21,1,9172.28,9172.28,78,2022,12,31,17,17,15,2024,1,1,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
8,67414a0c-2bd9-448e,27,1,8432.58,8432.58,27,2022,12,31,17,10,50,2024,1,11,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9,9c5034a0-421e-45a4,19,3,72090.37,8950.37,60,2022,12,31,16,48,47,2024,1,4,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
10,38f8068e-aa1e-4a40,37,1,12230.12,12230.12,12,2022,12,31,16,30,59,2024,1,1,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
11,d5f875d7-d3a6-4cf6,34,2,66412.04,27212.04,27,2022,12,31,16,25,16,2024,10,4,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
12,e927280b-046b-4584,39,2,71953.18,6953.18,7,2022,12,31,16,19,59,2024,1,31,23,59,59,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
13,036c2615-89f2-4094,3,1,0.0,0.0,10,2022,12,31,16,6,44,2024,3,31,23,59,59,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14,47806219-feff-4682,6,2,22750.0,0.0,7,2022,12,31,16,0,10,2024,3,31,23,59,59,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16,e6c1c384-4db8-44b4,2,1,6726.96,6726.96,20,2022,12,31,15,28,45,2024,1,1,23,59,59,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17,65e2b5d7-7727-4e92,33,1,9172.28,9172.28,22,2022,12,31,15,19,41,2024,1,1,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
18,b126d827-3b07-4c15,75,1,9098.31,9098.31,1,2022,12,31,15,17,5,2024,1,2,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19,fcc5b0ae-8279-4610,45,2,32065.54,6065.54,6,2022,12,31,15,7,4,2024,2,12,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
20,88b244f1-512f-4d12,50,2,35680.71,10680.71,11,2022,12,31,14,39,6,2023,10,3,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
21,defdcab2-aad3-43a5,53,2,27251.76,4351.76,0,2022,12,31,14,26,56,2024,2,18,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22,d82aa5dc-5373-4c0c,27,5,125510.32,8267.32,19,2022,12,31,13,50,34,2024,4,9,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
23,bd53f646-b865-4386,6,4,76989.38,5539.38,7,2022,12,31,13,35,43,2024,7,16,23,59,59,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
24,38c757ce-90c9-4e18,53,4,95671.37,8481.13,91,2022,12,31,13,34,42,2024,4,6,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
25,c02142fa-4d98-4c48,29,5,83073.29,7173.29,15,2022,12,31,13,34,32,2024,7,16,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
26,1fbaa490-bf7b-427f,65,5,178447.48,23397.48,0,2022,12,31,13,14,45,2024,2,14,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
27,5589b733-7b84-493a,27,2,56959.1,24459.1,14,2022,12,31,12,32,43,2024,1,20,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
28,de4719a6-c321-4142,56,1,5754.06,5754.06,0,2022,12,31,12,25,26,2024,7,8,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
29,bd6f867f-cc20-4b54,39,3,51707.45,11457.45,25,2022,12,31,12,21,10,2024,1,2,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
30,3ac1abef-bb98-4a69,46,1,9098.31,9098.31,84,2022,12,31,11,59,32,2024,1,2,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
31,b8c762a8-7427-4799,49,5,120656.3,22456.3,14,2022,12,31,11,38,27,2024,9,6,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
32,059a79de-2411-40af,18,2,11046.56,11046.56,47,2022,12,31,11,29,39,2024,1,13,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
33,1d902a7f-2141-477e,42,4,15849.13,0.0,0,2022,12,31,11,25,50,2025,6,22,23,59,59,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
34,289ea334-897a-473f,59,5,114509.49,0.0,0,2022,12,31,11,24,38,2025,3,22,23,59,59,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False
35,9169aaf8-c9cf-4a73,60,3,32413.12,6413.12,25,2022,12,31,10,37,58,2024,1,13,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,fd71be46-ac5d-428d,25,1,24628.96,24628.96,25,2022,12,30,20,21,27,2024,1,16,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
37,d5a1e33a-81de-4eb2,29,1,23991.99,23991.99,19,2022,12,30,20,20,41,2024,2,8,23,59,59,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
38,c0911975-5e57-484e,5,3,49740.0,0.0,0,2022,12,30,20,18,48,2023,2,3,23,59,59,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
39,670ffd54-0577-4ef3,35,4,115923.0,23973.0,29,2022,12,30,20,17,20,2024,1,9,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
40,d99cdf06-1726-46be,44,3,33654.49,8654.49,17,2022,12,30,20,3,52,2024,1,8,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
41,1a65ad49-d931-4219,49,2,42154.49,8654.49,24,2022,12,30,20,2,17,2024,1,8,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
42,2dde969c-b63e-4890,39,5,110882.41,23482.41,11,2022,12,30,20,0,52,2024,3,13,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
43,15850119-9545-4ae1,27,2,41199.77,7699.77,2,2022,12,30,19,11,21,2024,7,8,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
44,6fe74e57-ebb2-45b9,52,2,40414.79,7914.79,18,2022,12,30,18,17,58,2024,1,18,23,59,59,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
45,8514a5bd-2c93-44d3,41,8,171426.64,8284.64,6,2022,12,30,18,17,53,2024,1,13,23,59,59,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
